council,year,measure,value,sex
Scotland,2001 - 2003,Life Expectancy,78.84,Female
Aberdeen City,2001 - 2003,Life Expectancy,79.99,Female
Aberdeenshire,2001 - 2003,Life Expectancy,80.74,Female
Angus,2001 - 2003,Life Expectancy,79.93,Female
Argyll and Bute,2001 - 2003,Life Expectancy,79.61,Female
City of Edinburgh,2001 - 2003,Life Expectancy,80.08,Female
Clackmannanshire,2001 - 2003,Life Expectancy,78.67,Female
Dumfries and Galloway,2001 - 2003,Life Expectancy,79.68,Female
Dundee City,2001 - 2003,Life Expectancy,77.73,Female
East Ayrshire,2001 - 2003,Life Expectancy,77.93,Female
East Dunbartonshire,2001 - 2003,Life Expectancy,80.44,Female
East Lothian,2001 - 2003,Life Expectancy,80.09,Female
East Renfrewshire,2001 - 2003,Life Expectancy,81.07,Female
Falkirk,2001 - 2003,Life Expectancy,78.57,Female
Fife,2001 - 2003,Life Expectancy,79.35,Female
Glasgow City,2001 - 2003,Life Expectancy,76.41,Female
Highland,2001 - 2003,Life Expectancy,79.4,Female
Inverclyde,2001 - 2003,Life Expectancy,77.77,Female
Midlothian,2001 - 2003,Life Expectancy,78.62,Female
Moray,2001 - 2003,Life Expectancy,80.13,Female
Na h-Eileanan Siar,2001 - 2003,Life Expectancy,79.62,Female
North Ayrshire,2001 - 2003,Life Expectancy,78.47,Female
North Lanarkshire,2001 - 2003,Life Expectancy,77.37,Female
Orkney Islands,2001 - 2003,Life Expectancy,81.02,Female
Perth and Kinross,2001 - 2003,Life Expectancy,79.99,Female
Renfrewshire,2001 - 2003,Life Expectancy,78.09,Female
Scottish Borders,2001 - 2003,Life Expectancy,79.8,Female
Shetland Islands,2001 - 2003,Life Expectancy,80.6,Female
South Ayrshire,2001 - 2003,Life Expectancy,79.21,Female
South Lanarkshire,2001 - 2003,Life Expectancy,78.52,Female
Stirling,2001 - 2003,Life Expectancy,79.29,Female
West Dunbartonshire,2001 - 2003,Life Expectancy,77.44,Female
West Lothian,2001 - 2003,Life Expectancy,77.67,Female
Scotland,2002 - 2004,Life Expectancy,79,Female
Aberdeen City,2002 - 2004,Life Expectancy,79.93,Female
Aberdeenshire,2002 - 2004,Life Expectancy,80.77,Female
Angus,2002 - 2004,Life Expectancy,79.46,Female
Argyll and Bute,2002 - 2004,Life Expectancy,79.95,Female
City of Edinburgh,2002 - 2004,Life Expectancy,80.31,Female
Clackmannanshire,2002 - 2004,Life Expectancy,79.28,Female
Dumfries and Galloway,2002 - 2004,Life Expectancy,79.53,Female
Dundee City,2002 - 2004,Life Expectancy,78.34,Female
East Ayrshire,2002 - 2004,Life Expectancy,78.4,Female
East Dunbartonshire,2002 - 2004,Life Expectancy,80.36,Female
East Lothian,2002 - 2004,Life Expectancy,80.06,Female
East Renfrewshire,2002 - 2004,Life Expectancy,80.55,Female
Falkirk,2002 - 2004,Life Expectancy,78.83,Female
Fife,2002 - 2004,Life Expectancy,79.42,Female
Glasgow City,2002 - 2004,Life Expectancy,76.39,Female
Highland,2002 - 2004,Life Expectancy,79.76,Female
Inverclyde,2002 - 2004,Life Expectancy,78.02,Female
Midlothian,2002 - 2004,Life Expectancy,79.12,Female
Moray,2002 - 2004,Life Expectancy,80.14,Female
Na h-Eileanan Siar,2002 - 2004,Life Expectancy,79.95,Female
North Ayrshire,2002 - 2004,Life Expectancy,79.05,Female
North Lanarkshire,2002 - 2004,Life Expectancy,77.41,Female
Orkney Islands,2002 - 2004,Life Expectancy,80.49,Female
Perth and Kinross,2002 - 2004,Life Expectancy,80.12,Female
Renfrewshire,2002 - 2004,Life Expectancy,78.23,Female
Scottish Borders,2002 - 2004,Life Expectancy,79.88,Female
Shetland Islands,2002 - 2004,Life Expectancy,80.19,Female
South Ayrshire,2002 - 2004,Life Expectancy,79.6,Female
South Lanarkshire,2002 - 2004,Life Expectancy,78.65,Female
Stirling,2002 - 2004,Life Expectancy,79.83,Female
West Dunbartonshire,2002 - 2004,Life Expectancy,77.61,Female
West Lothian,2002 - 2004,Life Expectancy,77.98,Female
Scotland,2003 - 2005,Life Expectancy,79.19,Female
Aberdeen City,2003 - 2005,Life Expectancy,79.94,Female
Aberdeenshire,2003 - 2005,Life Expectancy,80.96,Female
Angus,2003 - 2005,Life Expectancy,79.48,Female
Argyll and Bute,2003 - 2005,Life Expectancy,80.6,Female
City of Edinburgh,2003 - 2005,Life Expectancy,80.47,Female
Clackmannanshire,2003 - 2005,Life Expectancy,78.73,Female
Dumfries and Galloway,2003 - 2005,Life Expectancy,79.8,Female
Dundee City,2003 - 2005,Life Expectancy,78.28,Female
East Ayrshire,2003 - 2005,Life Expectancy,77.93,Female
East Dunbartonshire,2003 - 2005,Life Expectancy,81.05,Female
East Lothian,2003 - 2005,Life Expectancy,80.08,Female
East Renfrewshire,2003 - 2005,Life Expectancy,81.04,Female
Falkirk,2003 - 2005,Life Expectancy,79.15,Female
Fife,2003 - 2005,Life Expectancy,79.57,Female
Glasgow City,2003 - 2005,Life Expectancy,76.64,Female
Highland,2003 - 2005,Life Expectancy,80.31,Female
Inverclyde,2003 - 2005,Life Expectancy,77.87,Female
Midlothian,2003 - 2005,Life Expectancy,79.51,Female
Moray,2003 - 2005,Life Expectancy,80.18,Female
Na h-Eileanan Siar,2003 - 2005,Life Expectancy,79.63,Female
North Ayrshire,2003 - 2005,Life Expectancy,78.88,Female
North Lanarkshire,2003 - 2005,Life Expectancy,77.61,Female
Orkney Islands,2003 - 2005,Life Expectancy,81.37,Female
Perth and Kinross,2003 - 2005,Life Expectancy,80.51,Female
Renfrewshire,2003 - 2005,Life Expectancy,78.23,Female
Scottish Borders,2003 - 2005,Life Expectancy,80.05,Female
Shetland Islands,2003 - 2005,Life Expectancy,80.94,Female
South Ayrshire,2003 - 2005,Life Expectancy,80,Female
South Lanarkshire,2003 - 2005,Life Expectancy,79.08,Female
Stirling,2003 - 2005,Life Expectancy,80.14,Female
West Dunbartonshire,2003 - 2005,Life Expectancy,77.52,Female
West Lothian,2003 - 2005,Life Expectancy,78.37,Female
Scotland,2004 - 2006,Life Expectancy,79.5,Female
Aberdeen City,2004 - 2006,Life Expectancy,80.13,Female
Aberdeenshire,2004 - 2006,Life Expectancy,81.12,Female
Angus,2004 - 2006,Life Expectancy,79.88,Female
Argyll and Bute,2004 - 2006,Life Expectancy,80.48,Female
City of Edinburgh,2004 - 2006,Life Expectancy,80.77,Female
Clackmannanshire,2004 - 2006,Life Expectancy,78.82,Female
Dumfries and Galloway,2004 - 2006,Life Expectancy,80.32,Female
Dundee City,2004 - 2006,Life Expectancy,79.07,Female
East Ayrshire,2004 - 2006,Life Expectancy,78.15,Female
East Dunbartonshire,2004 - 2006,Life Expectancy,81.56,Female
East Lothian,2004 - 2006,Life Expectancy,80.73,Female
East Renfrewshire,2004 - 2006,Life Expectancy,81.91,Female
Falkirk,2004 - 2006,Life Expectancy,79.44,Female
Fife,2004 - 2006,Life Expectancy,79.91,Female
Glasgow City,2004 - 2006,Life Expectancy,76.89,Female
Highland,2004 - 2006,Life Expectancy,80.62,Female
Inverclyde,2004 - 2006,Life Expectancy,77.84,Female
Midlothian,2004 - 2006,Life Expectancy,79.71,Female
Moray,2004 - 2006,Life Expectancy,80.08,Female
Na h-Eileanan Siar,2004 - 2006,Life Expectancy,80.04,Female
North Ayrshire,2004 - 2006,Life Expectancy,78.99,Female
North Lanarkshire,2004 - 2006,Life Expectancy,78.19,Female
Orkney Islands,2004 - 2006,Life Expectancy,81.09,Female
Perth and Kinross,2004 - 2006,Life Expectancy,81.1,Female
Renfrewshire,2004 - 2006,Life Expectancy,78.51,Female
Scottish Borders,2004 - 2006,Life Expectancy,80.63,Female
Shetland Islands,2004 - 2006,Life Expectancy,81.49,Female
South Ayrshire,2004 - 2006,Life Expectancy,80.47,Female
South Lanarkshire,2004 - 2006,Life Expectancy,79.29,Female
Stirling,2004 - 2006,Life Expectancy,80.62,Female
West Dunbartonshire,2004 - 2006,Life Expectancy,77.68,Female
West Lothian,2004 - 2006,Life Expectancy,78.94,Female
Scotland,2005 - 2007,Life Expectancy,79.65,Female
Aberdeen City,2005 - 2007,Life Expectancy,80.24,Female
Aberdeenshire,2005 - 2007,Life Expectancy,81.27,Female
Angus,2005 - 2007,Life Expectancy,80.65,Female
Argyll and Bute,2005 - 2007,Life Expectancy,79.99,Female
City of Edinburgh,2005 - 2007,Life Expectancy,80.85,Female
Clackmannanshire,2005 - 2007,Life Expectancy,79.5,Female
Dumfries and Galloway,2005 - 2007,Life Expectancy,80.26,Female
Dundee City,2005 - 2007,Life Expectancy,79.24,Female
East Ayrshire,2005 - 2007,Life Expectancy,77.88,Female
East Dunbartonshire,2005 - 2007,Life Expectancy,82.36,Female
East Lothian,2005 - 2007,Life Expectancy,81.03,Female
East Renfrewshire,2005 - 2007,Life Expectancy,82.5,Female
Falkirk,2005 - 2007,Life Expectancy,79.45,Female
Fife,2005 - 2007,Life Expectancy,80.15,Female
Glasgow City,2005 - 2007,Life Expectancy,77.03,Female
Highland,2005 - 2007,Life Expectancy,80.64,Female
Inverclyde,2005 - 2007,Life Expectancy,78.21,Female
Midlothian,2005 - 2007,Life Expectancy,79.73,Female
Moray,2005 - 2007,Life Expectancy,80.43,Female
Na h-Eileanan Siar,2005 - 2007,Life Expectancy,80.33,Female
North Ayrshire,2005 - 2007,Life Expectancy,79.07,Female
North Lanarkshire,2005 - 2007,Life Expectancy,78.39,Female
Orkney Islands,2005 - 2007,Life Expectancy,81.62,Female
Perth and Kinross,2005 - 2007,Life Expectancy,81.16,Female
Renfrewshire,2005 - 2007,Life Expectancy,78.92,Female
Scottish Borders,2005 - 2007,Life Expectancy,80.93,Female
Shetland Islands,2005 - 2007,Life Expectancy,82.64,Female
South Ayrshire,2005 - 2007,Life Expectancy,80.62,Female
South Lanarkshire,2005 - 2007,Life Expectancy,79.45,Female
Stirling,2005 - 2007,Life Expectancy,80.91,Female
West Dunbartonshire,2005 - 2007,Life Expectancy,77.93,Female
West Lothian,2005 - 2007,Life Expectancy,78.9,Female
Scotland,2006 - 2008,Life Expectancy,79.8,Female
Aberdeen City,2006 - 2008,Life Expectancy,80.4,Female
Aberdeenshire,2006 - 2008,Life Expectancy,81.15,Female
Angus,2006 - 2008,Life Expectancy,80.88,Female
Argyll and Bute,2006 - 2008,Life Expectancy,79.83,Female
City of Edinburgh,2006 - 2008,Life Expectancy,81.17,Female
Clackmannanshire,2006 - 2008,Life Expectancy,80.47,Female
Dumfries and Galloway,2006 - 2008,Life Expectancy,80.55,Female
Dundee City,2006 - 2008,Life Expectancy,79.55,Female
East Ayrshire,2006 - 2008,Life Expectancy,78.43,Female
East Dunbartonshire,2006 - 2008,Life Expectancy,82.42,Female
East Lothian,2006 - 2008,Life Expectancy,81.3,Female
East Renfrewshire,2006 - 2008,Life Expectancy,82.01,Female
Falkirk,2006 - 2008,Life Expectancy,79.54,Female
Fife,2006 - 2008,Life Expectancy,80.16,Female
Glasgow City,2006 - 2008,Life Expectancy,77.18,Female
Highland,2006 - 2008,Life Expectancy,80.94,Female
Inverclyde,2006 - 2008,Life Expectancy,78.66,Female
Midlothian,2006 - 2008,Life Expectancy,80.51,Female
Moray,2006 - 2008,Life Expectancy,80.67,Female
Na h-Eileanan Siar,2006 - 2008,Life Expectancy,81.57,Female
North Ayrshire,2006 - 2008,Life Expectancy,79.08,Female
North Lanarkshire,2006 - 2008,Life Expectancy,78.44,Female
Orkney Islands,2006 - 2008,Life Expectancy,81.61,Female
Perth and Kinross,2006 - 2008,Life Expectancy,81.42,Female
Renfrewshire,2006 - 2008,Life Expectancy,78.93,Female
Scottish Borders,2006 - 2008,Life Expectancy,81.04,Female
Shetland Islands,2006 - 2008,Life Expectancy,81.49,Female
South Ayrshire,2006 - 2008,Life Expectancy,80.93,Female
South Lanarkshire,2006 - 2008,Life Expectancy,79.52,Female
Stirling,2006 - 2008,Life Expectancy,81.2,Female
West Dunbartonshire,2006 - 2008,Life Expectancy,78.07,Female
West Lothian,2006 - 2008,Life Expectancy,79.21,Female
Scotland,2007 - 2009,Life Expectancy,80.01,Female
Aberdeen City,2007 - 2009,Life Expectancy,80.65,Female
Aberdeenshire,2007 - 2009,Life Expectancy,81.41,Female
Angus,2007 - 2009,Life Expectancy,80.92,Female
Argyll and Bute,2007 - 2009,Life Expectancy,80.36,Female
City of Edinburgh,2007 - 2009,Life Expectancy,81.23,Female
Clackmannanshire,2007 - 2009,Life Expectancy,80.98,Female
Dumfries and Galloway,2007 - 2009,Life Expectancy,80.65,Female
Dundee City,2007 - 2009,Life Expectancy,79.19,Female
East Ayrshire,2007 - 2009,Life Expectancy,78.71,Female
East Dunbartonshire,2007 - 2009,Life Expectancy,82.9,Female
East Lothian,2007 - 2009,Life Expectancy,81.22,Female
East Renfrewshire,2007 - 2009,Life Expectancy,82.07,Female
Falkirk,2007 - 2009,Life Expectancy,79.75,Female
Fife,2007 - 2009,Life Expectancy,80.11,Female
Glasgow City,2007 - 2009,Life Expectancy,77.45,Female
Highland,2007 - 2009,Life Expectancy,81.32,Female
Inverclyde,2007 - 2009,Life Expectancy,79.04,Female
Midlothian,2007 - 2009,Life Expectancy,81.26,Female
Moray,2007 - 2009,Life Expectancy,81.28,Female
Na h-Eileanan Siar,2007 - 2009,Life Expectancy,82.28,Female
North Ayrshire,2007 - 2009,Life Expectancy,79.25,Female
North Lanarkshire,2007 - 2009,Life Expectancy,78.54,Female
Orkney Islands,2007 - 2009,Life Expectancy,81.97,Female
Perth and Kinross,2007 - 2009,Life Expectancy,81.72,Female
Renfrewshire,2007 - 2009,Life Expectancy,79.41,Female
Scottish Borders,2007 - 2009,Life Expectancy,81.46,Female
Shetland Islands,2007 - 2009,Life Expectancy,81.86,Female
South Ayrshire,2007 - 2009,Life Expectancy,80.91,Female
South Lanarkshire,2007 - 2009,Life Expectancy,79.89,Female
Stirling,2007 - 2009,Life Expectancy,81.71,Female
West Dunbartonshire,2007 - 2009,Life Expectancy,78.41,Female
West Lothian,2007 - 2009,Life Expectancy,79.62,Female
Scotland,2008 - 2010,Life Expectancy,80.28,Female
Aberdeen City,2008 - 2010,Life Expectancy,80.9,Female
Aberdeenshire,2008 - 2010,Life Expectancy,81.66,Female
Angus,2008 - 2010,Life Expectancy,80.62,Female
Argyll and Bute,2008 - 2010,Life Expectancy,80.85,Female
City of Edinburgh,2008 - 2010,Life Expectancy,81.55,Female
Clackmannanshire,2008 - 2010,Life Expectancy,80.63,Female
Dumfries and Galloway,2008 - 2010,Life Expectancy,81.48,Female
Dundee City,2008 - 2010,Life Expectancy,78.98,Female
East Ayrshire,2008 - 2010,Life Expectancy,79.5,Female
East Dunbartonshire,2008 - 2010,Life Expectancy,82.49,Female
East Lothian,2008 - 2010,Life Expectancy,81.17,Female
East Renfrewshire,2008 - 2010,Life Expectancy,82.37,Female
Falkirk,2008 - 2010,Life Expectancy,80.3,Female
Fife,2008 - 2010,Life Expectancy,80.41,Female
Glasgow City,2008 - 2010,Life Expectancy,77.96,Female
Highland,2008 - 2010,Life Expectancy,81.67,Female
Inverclyde,2008 - 2010,Life Expectancy,79.26,Female
Midlothian,2008 - 2010,Life Expectancy,81.42,Female
Moray,2008 - 2010,Life Expectancy,81.66,Female
Na h-Eileanan Siar,2008 - 2010,Life Expectancy,82.39,Female
North Ayrshire,2008 - 2010,Life Expectancy,79.61,Female
North Lanarkshire,2008 - 2010,Life Expectancy,78.75,Female
Orkney Islands,2008 - 2010,Life Expectancy,81.72,Female
Perth and Kinross,2008 - 2010,Life Expectancy,82.26,Female
Renfrewshire,2008 - 2010,Life Expectancy,79.75,Female
Scottish Borders,2008 - 2010,Life Expectancy,81.62,Female
Shetland Islands,2008 - 2010,Life Expectancy,80.71,Female
South Ayrshire,2008 - 2010,Life Expectancy,81.14,Female
South Lanarkshire,2008 - 2010,Life Expectancy,80.22,Female
Stirling,2008 - 2010,Life Expectancy,81.76,Female
West Dunbartonshire,2008 - 2010,Life Expectancy,78.25,Female
West Lothian,2008 - 2010,Life Expectancy,79.86,Female
Scotland,2009 - 2011,Life Expectancy,80.6,Female
Aberdeen City,2009 - 2011,Life Expectancy,81.2,Female
Aberdeenshire,2009 - 2011,Life Expectancy,82.08,Female
Angus,2009 - 2011,Life Expectancy,80.92,Female
Argyll and Bute,2009 - 2011,Life Expectancy,81.31,Female
City of Edinburgh,2009 - 2011,Life Expectancy,81.69,Female
Clackmannanshire,2009 - 2011,Life Expectancy,80.77,Female
Dumfries and Galloway,2009 - 2011,Life Expectancy,81.61,Female
Dundee City,2009 - 2011,Life Expectancy,79.09,Female
East Ayrshire,2009 - 2011,Life Expectancy,79.91,Female
East Dunbartonshire,2009 - 2011,Life Expectancy,83.14,Female
East Lothian,2009 - 2011,Life Expectancy,81.29,Female
East Renfrewshire,2009 - 2011,Life Expectancy,83.11,Female
Falkirk,2009 - 2011,Life Expectancy,80.4,Female
Fife,2009 - 2011,Life Expectancy,80.99,Female
Glasgow City,2009 - 2011,Life Expectancy,78.36,Female
Highland,2009 - 2011,Life Expectancy,81.65,Female
Inverclyde,2009 - 2011,Life Expectancy,79.64,Female
Midlothian,2009 - 2011,Life Expectancy,81.47,Female
Moray,2009 - 2011,Life Expectancy,81.95,Female
Na h-Eileanan Siar,2009 - 2011,Life Expectancy,80.79,Female
North Ayrshire,2009 - 2011,Life Expectancy,80.32,Female
North Lanarkshire,2009 - 2011,Life Expectancy,79.04,Female
Orkney Islands,2009 - 2011,Life Expectancy,81.59,Female
Perth and Kinross,2009 - 2011,Life Expectancy,82.65,Female
Renfrewshire,2009 - 2011,Life Expectancy,80.37,Female
Scottish Borders,2009 - 2011,Life Expectancy,82.1,Female
Shetland Islands,2009 - 2011,Life Expectancy,81.02,Female
South Ayrshire,2009 - 2011,Life Expectancy,80.97,Female
South Lanarkshire,2009 - 2011,Life Expectancy,80.46,Female
Stirling,2009 - 2011,Life Expectancy,82.14,Female
West Dunbartonshire,2009 - 2011,Life Expectancy,78.92,Female
West Lothian,2009 - 2011,Life Expectancy,80.08,Female
Scotland,2010 - 2012,Life Expectancy,80.74,Female
Aberdeen City,2010 - 2012,Life Expectancy,81.19,Female
Aberdeenshire,2010 - 2012,Life Expectancy,82.06,Female
Angus,2010 - 2012,Life Expectancy,81.1,Female
Argyll and Bute,2010 - 2012,Life Expectancy,81.2,Female
City of Edinburgh,2010 - 2012,Life Expectancy,81.87,Female
Clackmannanshire,2010 - 2012,Life Expectancy,80.57,Female
Dumfries and Galloway,2010 - 2012,Life Expectancy,81.91,Female
Dundee City,2010 - 2012,Life Expectancy,79.29,Female
East Ayrshire,2010 - 2012,Life Expectancy,80.24,Female
East Dunbartonshire,2010 - 2012,Life Expectancy,83.45,Female
East Lothian,2010 - 2012,Life Expectancy,81.5,Female
East Renfrewshire,2010 - 2012,Life Expectancy,82.9,Female
Falkirk,2010 - 2012,Life Expectancy,80.6,Female
Fife,2010 - 2012,Life Expectancy,81.15,Female
Glasgow City,2010 - 2012,Life Expectancy,78.54,Female
Highland,2010 - 2012,Life Expectancy,81.9,Female
Inverclyde,2010 - 2012,Life Expectancy,79.94,Female
Midlothian,2010 - 2012,Life Expectancy,81.26,Female
Moray,2010 - 2012,Life Expectancy,81.73,Female
Na h-Eileanan Siar,2010 - 2012,Life Expectancy,80.23,Female
North Ayrshire,2010 - 2012,Life Expectancy,80.72,Female
North Lanarkshire,2010 - 2012,Life Expectancy,79.11,Female
Orkney Islands,2010 - 2012,Life Expectancy,81.81,Female
Perth and Kinross,2010 - 2012,Life Expectancy,82.83,Female
Renfrewshire,2010 - 2012,Life Expectancy,80.42,Female
Scottish Borders,2010 - 2012,Life Expectancy,81.95,Female
Shetland Islands,2010 - 2012,Life Expectancy,81.32,Female
South Ayrshire,2010 - 2012,Life Expectancy,81.18,Female
South Lanarkshire,2010 - 2012,Life Expectancy,80.51,Female
Stirling,2010 - 2012,Life Expectancy,81.91,Female
West Dunbartonshire,2010 - 2012,Life Expectancy,78.74,Female
West Lothian,2010 - 2012,Life Expectancy,80.07,Female
Scotland,2011 - 2013,Life Expectancy,80.9,Female
Aberdeen City,2011 - 2013,Life Expectancy,81.36,Female
Aberdeenshire,2011 - 2013,Life Expectancy,82.19,Female
Angus,2011 - 2013,Life Expectancy,81.56,Female
Argyll and Bute,2011 - 2013,Life Expectancy,81.48,Female
City of Edinburgh,2011 - 2013,Life Expectancy,81.95,Female
Clackmannanshire,2011 - 2013,Life Expectancy,79.91,Female
Dumfries and Galloway,2011 - 2013,Life Expectancy,81.54,Female
Dundee City,2011 - 2013,Life Expectancy,79.73,Female
East Ayrshire,2011 - 2013,Life Expectancy,79.7,Female
East Dunbartonshire,2011 - 2013,Life Expectancy,83.85,Female
East Lothian,2011 - 2013,Life Expectancy,81.63,Female
East Renfrewshire,2011 - 2013,Life Expectancy,82.98,Female
Falkirk,2011 - 2013,Life Expectancy,80.68,Female
Fife,2011 - 2013,Life Expectancy,81.2,Female
Glasgow City,2011 - 2013,Life Expectancy,78.55,Female
Highland,2011 - 2013,Life Expectancy,82.23,Female
Inverclyde,2011 - 2013,Life Expectancy,80.7,Female
Midlothian,2011 - 2013,Life Expectancy,81.75,Female
Moray,2011 - 2013,Life Expectancy,81.65,Female
Na h-Eileanan Siar,2011 - 2013,Life Expectancy,80.42,Female
North Ayrshire,2011 - 2013,Life Expectancy,80.95,Female
North Lanarkshire,2011 - 2013,Life Expectancy,79.4,Female
Orkney Islands,2011 - 2013,Life Expectancy,82.54,Female
Perth and Kinross,2011 - 2013,Life Expectancy,82.76,Female
Renfrewshire,2011 - 2013,Life Expectancy,80.6,Female
Scottish Borders,2011 - 2013,Life Expectancy,82.4,Female
Shetland Islands,2011 - 2013,Life Expectancy,82.48,Female
South Ayrshire,2011 - 2013,Life Expectancy,80.92,Female
South Lanarkshire,2011 - 2013,Life Expectancy,80.66,Female
Stirling,2011 - 2013,Life Expectancy,82.19,Female
West Dunbartonshire,2011 - 2013,Life Expectancy,79.1,Female
West Lothian,2011 - 2013,Life Expectancy,80.23,Female
Scotland,2012 - 2014,Life Expectancy,81.07,Female
Aberdeen City,2012 - 2014,Life Expectancy,81.09,Female
Aberdeenshire,2012 - 2014,Life Expectancy,82.27,Female
Angus,2012 - 2014,Life Expectancy,81.82,Female
Argyll and Bute,2012 - 2014,Life Expectancy,81.88,Female
City of Edinburgh,2012 - 2014,Life Expectancy,82.16,Female
Clackmannanshire,2012 - 2014,Life Expectancy,80.21,Female
Dumfries and Galloway,2012 - 2014,Life Expectancy,81.47,Female
Dundee City,2012 - 2014,Life Expectancy,80.19,Female
East Ayrshire,2012 - 2014,Life Expectancy,79.66,Female
East Dunbartonshire,2012 - 2014,Life Expectancy,83.89,Female
East Lothian,2012 - 2014,Life Expectancy,82.11,Female
East Renfrewshire,2012 - 2014,Life Expectancy,82.77,Female
Falkirk,2012 - 2014,Life Expectancy,81,Female
Fife,2012 - 2014,Life Expectancy,81.45,Female
Glasgow City,2012 - 2014,Life Expectancy,78.74,Female
Highland,2012 - 2014,Life Expectancy,82.84,Female
Inverclyde,2012 - 2014,Life Expectancy,80.8,Female
Midlothian,2012 - 2014,Life Expectancy,81.57,Female
Moray,2012 - 2014,Life Expectancy,81.8,Female
Na h-Eileanan Siar,2012 - 2014,Life Expectancy,82.1,Female
North Ayrshire,2012 - 2014,Life Expectancy,80.99,Female
North Lanarkshire,2012 - 2014,Life Expectancy,79.67,Female
Orkney Islands,2012 - 2014,Life Expectancy,82.84,Female
Perth and Kinross,2012 - 2014,Life Expectancy,82.95,Female
Renfrewshire,2012 - 2014,Life Expectancy,80.62,Female
Scottish Borders,2012 - 2014,Life Expectancy,82.49,Female
Shetland Islands,2012 - 2014,Life Expectancy,82.42,Female
South Ayrshire,2012 - 2014,Life Expectancy,80.96,Female
South Lanarkshire,2012 - 2014,Life Expectancy,80.86,Female
Stirling,2012 - 2014,Life Expectancy,82.02,Female
West Dunbartonshire,2012 - 2014,Life Expectancy,78.67,Female
West Lothian,2012 - 2014,Life Expectancy,80.54,Female
Scotland,2013 - 2015,Life Expectancy,81.13,Female
Aberdeen City,2013 - 2015,Life Expectancy,80.95,Female
Aberdeenshire,2013 - 2015,Life Expectancy,82.24,Female
Angus,2013 - 2015,Life Expectancy,81.94,Female
Argyll and Bute,2013 - 2015,Life Expectancy,82.23,Female
City of Edinburgh,2013 - 2015,Life Expectancy,82.19,Female
Clackmannanshire,2013 - 2015,Life Expectancy,80.12,Female
Dumfries and Galloway,2013 - 2015,Life Expectancy,81.34,Female
Dundee City,2013 - 2015,Life Expectancy,80.06,Female
East Ayrshire,2013 - 2015,Life Expectancy,79.43,Female
East Dunbartonshire,2013 - 2015,Life Expectancy,83.53,Female
East Lothian,2013 - 2015,Life Expectancy,82.49,Female
East Renfrewshire,2013 - 2015,Life Expectancy,83.44,Female
Falkirk,2013 - 2015,Life Expectancy,80.9,Female
Fife,2013 - 2015,Life Expectancy,81.46,Female
Glasgow City,2013 - 2015,Life Expectancy,78.85,Female
Highland,2013 - 2015,Life Expectancy,82.64,Female
Inverclyde,2013 - 2015,Life Expectancy,80.42,Female
Midlothian,2013 - 2015,Life Expectancy,81.48,Female
Moray,2013 - 2015,Life Expectancy,81.7,Female
Na h-Eileanan Siar,2013 - 2015,Life Expectancy,82.89,Female
North Ayrshire,2013 - 2015,Life Expectancy,80.79,Female
North Lanarkshire,2013 - 2015,Life Expectancy,79.58,Female
Orkney Islands,2013 - 2015,Life Expectancy,82.81,Female
Perth and Kinross,2013 - 2015,Life Expectancy,82.64,Female
Renfrewshire,2013 - 2015,Life Expectancy,80.6,Female
Scottish Borders,2013 - 2015,Life Expectancy,82.53,Female
Shetland Islands,2013 - 2015,Life Expectancy,81.93,Female
South Ayrshire,2013 - 2015,Life Expectancy,81.03,Female
South Lanarkshire,2013 - 2015,Life Expectancy,80.81,Female
Stirling,2013 - 2015,Life Expectancy,82.03,Female
West Dunbartonshire,2013 - 2015,Life Expectancy,78.74,Female
West Lothian,2013 - 2015,Life Expectancy,80.8,Female
Scotland,2014 - 2016,Life Expectancy,81.14,Female
Aberdeen City,2014 - 2016,Life Expectancy,80.84,Female
Aberdeenshire,2014 - 2016,Life Expectancy,82.45,Female
Angus,2014 - 2016,Life Expectancy,81.78,Female
Argyll and Bute,2014 - 2016,Life Expectancy,82.45,Female
City of Edinburgh,2014 - 2016,Life Expectancy,82.24,Female
Clackmannanshire,2014 - 2016,Life Expectancy,80.59,Female
Dumfries and Galloway,2014 - 2016,Life Expectancy,81.82,Female
Dundee City,2014 - 2016,Life Expectancy,79.63,Female
East Ayrshire,2014 - 2016,Life Expectancy,79.84,Female
East Dunbartonshire,2014 - 2016,Life Expectancy,83.48,Female
East Lothian,2014 - 2016,Life Expectancy,82.69,Female
East Renfrewshire,2014 - 2016,Life Expectancy,83.54,Female
Falkirk,2014 - 2016,Life Expectancy,80.61,Female
Fife,2014 - 2016,Life Expectancy,81.21,Female
Glasgow City,2014 - 2016,Life Expectancy,78.93,Female
Highland,2014 - 2016,Life Expectancy,82.87,Female
Inverclyde,2014 - 2016,Life Expectancy,80.08,Female
Midlothian,2014 - 2016,Life Expectancy,81.42,Female
Moray,2014 - 2016,Life Expectancy,82.15,Female
Na h-Eileanan Siar,2014 - 2016,Life Expectancy,82.69,Female
North Ayrshire,2014 - 2016,Life Expectancy,80.52,Female
North Lanarkshire,2014 - 2016,Life Expectancy,79.6,Female
Orkney Islands,2014 - 2016,Life Expectancy,82.7,Female
Perth and Kinross,2014 - 2016,Life Expectancy,82.59,Female
Renfrewshire,2014 - 2016,Life Expectancy,80.17,Female
Scottish Borders,2014 - 2016,Life Expectancy,82.6,Female
Shetland Islands,2014 - 2016,Life Expectancy,82.03,Female
